title,date,notes,bunting
New Year’s Day,2018-01-01,,True
Good Friday,2018-03-30,,False
Easter Monday,2018-04-02,,True
Early May bank holiday,2018-05-07,,True
Spring bank holiday,2018-05-28,,True
Summer bank holiday,2018-08-27,,True
Christmas Day,2018-12-25,,True
Boxing Day,2018-12-26,,True
New Year’s Day,2019-01-01,,True
Good Friday,2019-04-19,,False
Easter Monday,2019-04-22,,True
Early May bank holiday,2019-05-06,,True
Spring bank holiday,2019-05-27,,True
Summer bank holiday,2019-08-26,,True
Christmas Day,2019-12-25,,True
Boxing Day,2019-12-26,,True
New Year’s Day,2020-01-01,,True
Good Friday,2020-04-10,,False
Easter Monday,2020-04-13,,False
Early May bank holiday (VE day),2020-05-08,,True
Spring bank holiday,2020-05-25,,True
Summer bank holiday,2020-08-31,,True
Christmas Day,2020-12-25,,True
Boxing Day,2020-12-28,Substitute day,True
New Year’s Day,2021-01-01,,True
Good Friday,2021-04-02,,False
Easter Monday,2021-04-05,,True
Early May bank holiday,2021-05-03,,True
Spring bank holiday,2021-05-31,,True
Summer bank holiday,2021-08-30,,True
Christmas Day,2021-12-27,Substitute day,True
Boxing Day,2021-12-28,Substitute day,True
New Year’s Day,2022-01-03,Substitute day,True
Good Friday,2022-04-15,,False
Easter Monday,2022-04-18,,True
Early May bank holiday,2022-05-02,,True
Spring bank holiday,2022-06-02,,True
Platinum Jubilee bank holiday,2022-06-03,,True
Summer bank holiday,2022-08-29,,True
Bank Holiday for the State Funeral of Queen Elizabeth II,2022-09-19,,False
Boxing Day,2022-12-26,,True
Christmas Day,2022-12-27,Substitute day,True
New Year’s Day,2023-01-02,Substitute day,True
Good Friday,2023-04-07,,False
Easter Monday,2023-04-10,,True
Early May bank holiday,2023-05-01,,True
Bank holiday for the coronation of King Charles III,2023-05-08,,True
Spring bank holiday,2023-05-29,,True
Summer bank holiday,2023-08-28,,True
Christmas Day,2023-12-25,,True
Boxing Day,2023-12-26,,True
New Year’s Day,2024-01-01,,True
Good Friday,2024-03-29,,False
Easter Monday,2024-04-01,,True
Early May bank holiday,2024-05-06,,True
Spring bank holiday,2024-05-27,,True
Summer bank holiday,2024-08-26,,True
Christmas Day,2024-12-25,,True
Boxing Day,2024-12-26,,True
New Year’s Day,2025-01-01,,True
Good Friday,2025-04-18,,False
Easter Monday,2025-04-21,,True
Early May bank holiday,2025-05-05,,True
Spring bank holiday,2025-05-26,,True
Summer bank holiday,2025-08-25,,True
Christmas Day,2025-12-25,,True
Boxing Day,2025-12-26,,True
